deliverable_id,category,scope,minimum_count,source_format,runtime_format,budget,addressable_group,category_release_label,source_plan,work_package
ART-CHAR-001,character,lu_qingye_directional_animation_atlas,1,layered_source_or_4096_png,rgba_sprite_atlas,2048_max_4_direction_6_states,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-CHAR-002,character,lu_qingye_portrait_and_silhouette,2,2048_png,rgba_sprite,1024_portrait_plus_256_silhouette,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-CHAR-003,character,riding_wind_tier_overlays,4,1024_png,rgba_sprite_or_vfx_texture,512_each,QinglanDemo-Visual,visual.release,first_party_procedural,G3.1
ART-ENEMY-001,enemy,six_normal_enemy_animation_atlases,6,2048_png,rgba_sprite_atlas,1024_each_4_direction_4_states,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-AFFIX-001,enemy,four_elite_affix_overlays,4,1024_png,rgba_sprite_or_vfx_texture,512_each,QinglanDemo-Visual,visual.release,first_party_procedural,G3.1
ART-BOSS-001,boss,zhezhi_and_tingfeng_animation_atlases,2,4096_png,rgba_sprite_atlas,2048_each_4_direction_phase_actions,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-BOSS-002,boss,boss_phase_and_telegraph_overlays,6,2048_png,rgba_sprite_or_vfx_texture,1024_each,QinglanDemo-Visual,visual.release,first_party_procedural,G3.1
ART-SKILL-001,vfx,six_base_weapon_visual_sets,6,1024_png,rgba_vfx_texture_plus_profile,512_each_max,QinglanDemo-Visual,visual.release,first_party_procedural,G3.1
ART-SKILL-002,vfx,six_evolution_visual_sets,6,2048_png,rgba_vfx_texture_plus_profile,1024_each_max,QinglanDemo-Visual,visual.release,first_party_procedural,G3.1
ART-STATUS-001,vfx,combat_status_and_damage_policy_visuals,9,1024_png,rgba_vfx_texture_plus_icon,512_each,QinglanDemo-Visual,visual.release,first_party_procedural,G3.1
ART-PICKUP-001,pickup,six_instant_pickup_sprites_and_icons,12,1024_png,rgba_sprite,256_sprite_plus_128_icon,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-RELIC-001,relic,six_relic_icons,6,1024_png,rgba_sprite,256_each,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-MAP-001,map,five_region_tile_kits,5,4096_png,tilemap_sprite_atlas,2048_each_max_16_to_32_tiles,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-MAP-002,map,five_region_prop_sets,5,4096_png,rgba_sprite_atlas,2048_each_max_12_to_24_props,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-OBJECTIVE-001,map,three_wind_altar_sets,3,2048_png,rgba_sprite_atlas,1024_each_idle_active_complete,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-EVENT-001,map,three_dynamic_event_visual_sets,3,2048_png,rgba_sprite_plus_vfx_profile,1024_each,QinglanDemo-Visual,visual.release,first_party_plus_ai_assisted,G3.1
ART-LANDMARK-001,map,five_landmark_sets,5,2048_png,rgba_sprite_atlas,1024_each_undiscovered_discovered_claimed,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-HUB-001,hub,four_facility_visual_panels_and_icons,8,2048_png,rgba_sprite,1024_panel_plus_256_icon,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-META-001,hub,twelve_meta_node_icons,12,1024_png,rgba_sprite,128_each,QinglanDemo-Visual,visual.release,first_party_vector,G3.1
ART-META-002,hub,three_insert_icons,3,1024_png,rgba_sprite,256_each,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-COLLECT-001,narrative,six_collectible_illustrations_and_icons,12,2048_png,rgba_sprite,1024_illustration_plus_256_icon,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-STORY-001,narrative,three_story_key_illustrations,3,4096_png,rgba_or_rgb_sprite,1920x1080_each,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-UI-001,ui,title_key_art_and_logo_safe_background,2,4096_png,rgb_or_rgba_sprite,2560x1440_key_art_no_embedded_text,QinglanDemo-Visual,visual.release,original_ai_assisted_no_reference_input,G3.1
ART-UI-002,ui,ui_frame_icon_and_panel_atlas,1,4096_png,rgba_sprite_atlas,2048_max_no_embedded_text,QinglanDemo-Visual,visual.release,first_party_vector,G3.1
ART-UI-003,ui,page_background_variants,6,2560_png,rgb_sprite,1920x1080_each,QinglanDemo-Visual,visual.release,first_party_plus_ai_assisted,G3.1
ART-UI-004,ui,telegraph_shape_and_accessibility_atlas,1,2048_png,rgba_sprite_atlas,1024_max_shape_plus_texture_channels,QinglanDemo-Visual,visual.release,first_party_vector,G3.1
ART-UI-005,ui,cursor_focus_and_input_glyph_set,24,512_svg_or_png,rgba_sprite,128_each,QinglanDemo-Visual,visual.release,first_party_vector,G3.1
AUDIO-AMB-001,audio,old_court_environment_layers,6,48k_24bit_wav,vorbis_loop,45_to_120_seconds_each,QinglanDemo-Audio,audio.release,first_party_procedural_synthesis,G3.2
AUDIO-MUSIC-001,audio,exploration_combat_and_high_pressure_stems,4,48k_24bit_wav,vorbis_stream,120_to_240_seconds_loop_each,QinglanDemo-Audio,audio.release,first_party_procedural_composition,G3.2
AUDIO-BOSS-001,audio,two_boss_phase_stem_sets,6,48k_24bit_wav,vorbis_stream,90_to_180_seconds_loop_each,QinglanDemo-Audio,audio.release,first_party_procedural_composition,G3.2
AUDIO-PLAYER-001,audio,character_mechanic_and_state_cues,12,48k_24bit_wav,pcm_or_vorbis_clip,0.1_to_2_seconds_each,QinglanDemo-Audio,audio.release,first_party_procedural_synthesis,G3.2
AUDIO-WEAPON-001,audio,base_and_evolution_weapon_cue_sets,18,48k_24bit_wav,pcm_or_vorbis_clip,0.1_to_3_seconds_each,QinglanDemo-Audio,audio.release,first_party_procedural_synthesis,G3.2
AUDIO-ENEMY-001,audio,normal_enemy_and_boss_cue_sets,24,48k_24bit_wav,pcm_or_vorbis_clip,0.1_to_4_seconds_each,QinglanDemo-Audio,audio.release,first_party_procedural_synthesis,G3.2
